designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 65677579036713600,65677579036713600,57.71066227787882,23.3438517779298,11.261703223205377,76.7464489383608,-84.7511221130965,1.0380557,17.33509,3.220028,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.2739647054865009
Gaia DR3 65151668879876096,65151668879876096,55.336917954263306,23.715361846639354,15.585325575636158,-22.92402574948615,-27.11266919261127,1.0112412,15.343157,2.9138298,23.554726,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.2932755276990526
Gaia DR3 69916574317650432,69916574317650432,56.18544638642073,25.43290476355336,13.330471080258233,-15.787723088710745,-130.07787580012788,0.9898114,17.127659,3.295617,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.3264488366301106
Gaia DR3 69875407055301120,69875407055301120,56.52694093930078,25.532576793478263,15.3916134874755,22.08950371665161,-132.3616033973799,10.467834,15.699241,2.7082958,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.3599622496272823
Gaia DR3 64802917535338624,64802917535338624,56.61762662347938,22.815859475473015,12.046013723268311,47.08491393197122,-58.0935521624085,1.061734,17.406357,3.3898392,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.3625119352619082
Gaia DR3 69895855395562624,69895855395562624,55.73641057489146,25.26441475393967,27.952703866152138,470.7657207056193,-58.910372496844566,1.0423255,14.461738,2.871171,103.574646,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3136.7954,4.8621,-0.6603,35.5713,2.0E-4,1.0E-4,1.0E-4,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.3718619897013506
Gaia DR3 65687543360807552,65687543360807552,58.008920906259945,23.55728797697009,12.208801887735948,47.17262681632175,-79.52600803819384,0.96819407,17.357595,3.409193,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.3821378232246255
Gaia DR3 65673657729693312,65673657729693312,57.81777510637239,23.285505404218128,12.013921291132347,-6.2027139278506755,-42.707261937494714,1.1437328,20.662508,2.2392788,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.3865916748121379
Gaia DR3 64139946385118976,64139946385118976,57.341013067619784,22.925697057665662,10.318682305027645,-23.552769781052387,-23.75713226013623,1.0332209,15.561026,2.724288,-18.518393,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3404.5796,4.883,-0.1607,98.6303,0.8353,0.5382,0.3453,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.3997905323466089
Gaia DR3 68329429282956160,68329429282956160,55.12915366729279,24.361207488132962,14.580905047875774,-14.248606783115637,-43.93191812683325,1.4181317,12.599703,1.963459,18.361368,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3913.6736,4.6785,0.0041,69.187,0.4865,0.3426,0.1916,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.4061167704161428
