source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,l,b,dist_pc,x_pc,y_pc,z_pc
3310500082395427200,63.716923255422195,13.054855338582076,22.294688088545765,112.75112138609474,-22.059896989915025,38.643177,10.232033,180.42609787746167,-26.3777382774564,44.85373359018937,-40.18265130820207,-0.2988362883203563,-19.927936363204083
3310903740601986432,66.94644176768678,14.417664583381967,20.352565293817054,100.55014107182478,-19.20040671441904,,9.218413,181.43446300849763,-23.082316352777603,49.133855391870036,-45.18615871925897,-1.131521726021763,-19.263085538165303
3312837025641272320,67.69551967147464,16.148532608296946,22.452802624244807,114.04477575771098,-33.38083251325954,41.803673,6.406904,180.4569284498503,-21.439260814463786,44.53786980339763,-41.45477912615537,-0.3306049712258627,-16.27924551627231
3313207698500079360,69.63189917287164,17.04055509824066,22.85331654281413,106.24672866768168,-31.389098407894696,39.79378,13.618415,180.93459854946576,-19.429536444063572,43.757325030989186,-41.25991255646072,-0.6730840422215926,-14.555757196826079
3313689422030650496,66.6676726168485,16.74677258632566,21.852128841107575,107.47186617521814,-31.53080384333542,38.12629,7.950683,179.2897764353929,-21.829887821819796,45.76213179371475,-42.47735630341227,0.5265652187647873,-17.01674577728266
3313958836739285120,66.17664639061334,17.20099678941487,24.02339625842065,268.45112859881044,-81.74951120328419,40.92694,12.332814,178.59021730159125,-21.903231278215166,41.62608772061033,-38.60962708950579,0.9501951456268384,-15.528200285882251
3392423078873226112,74.36514027052176,13.94513871564486,18.225599230105647,70.16429258973503,-18.105923354759142,,14.9890375,186.41388119233252,-17.588925682855088,54.86788046717098,-51.9753882743863,-5.842724885947729,-16.580286082986515
3393390820904856960,76.3293292803396,16.591164464356993,21.33334047813877,11.404998606413383,166.2690555552973,43.19588,13.824196,185.27644146290805,-14.523521356788706,46.87498430096988,-45.184802359976814,-4.172929392082328,-11.755188182019952
3409686510941439104,70.71593085365843,18.72002971063763,23.650619620336467,103.81639682339663,-91.25905784586345,13.424096,6.9619913,180.20266723669238,-17.584762176632303,42.28219032114193,-40.306135785227845,-0.14257188399579887,-12.774142228499638
3411564889118510848,72.60620100494049,19.985853210301524,33.175468071373196,36.210941176611136,-141.0790512500479,39.64572,11.114721,180.28542266454127,-15.39923323524398,30.142754816559492,-29.06023792597011,-0.1447666690963628,-8.004204034677498
3415053467715732096,78.10462203024261,22.0098615061643,23.61578744972256,83.38191652640974,-236.971787085062,-4.096316,13.517191,181.69849516023294,-10.056715995794757,42.34455455398113,-41.67562784833342,-1.2358082097766394,-7.394330388273809
12828899809609856,51.908827877612204,9.934998662838128,23.76664823795024,56.85263991521987,-14.191420890087684,-3.5812547,10.591177,173.94009015054365,-37.02274926505485,42.07576895101323,-33.4054298456196,3.546371438483278,-25.335170006707006
15962198711564032,51.42561595372275,10.83297115683721,20.565668083070225,92.8055483573451,-49.49843610589663,39.358265,13.403662,172.73164209749237,-36.71038284541196,48.62472718905766,-38.66762326959038,4.931733345401534,-29.066424119612147
42017428833731328,51.0446305314264,14.393705439634685,32.795269472058905,67.48500480094087,62.86689466578548,23.029428,12.82762,169.42399216739315,-34.349355054901665,30.492202567568032,-24.747084240025195,4.620566187486406,-17.204842549287008
43538293935879680,58.77777509781746,16.99836888503202,24.548558117114858,147.6055161117331,-24.542747473776412,36.264904,8.745134,173.5685523563709,-27.309500364367537,40.735590059068116,-35.967457263619366,4.0543876283065465,-18.68936211885249
45367056650753280,61.567748068065875,15.698032862131647,21.1750396454176,118.96454993102434,-19.715098672341668,37.35873,7.7056403,176.67633946911542,-26.232658396572745,47.225413352007855,-42.29025217206891,2.4559630131016865,-20.87444569728977
